steam,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14
ARI,2.3992603600491402,2.39778751923379,2.39778751923378,2.39778751923378,2.39778751923378,2.39778751923378,2.3663869827752997,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789746,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.34991475789747,2.3918994649415897,3.0544288189931,3.13214260741686,3.13214260741686,3.13214260741685,3.1894783163234104,3.26974830879259,3.26974830879259,3.53030125703178,3.5219391859697096,3.5219391859697207,3.5219391859697096,3.5219391859697096,3.5219391859697096,3.53621490067646,3.6528671028492896,3.6297941469506205,3.6396247773496606,3.65617472791278,3.65617472791278,3.65617472791278,3.7421571403961895,5.60832160686096,5.705699444470169,5.705699444470169,5.705699444470169,5.705699444470169,5.705699444470169,5.725243665600691,6.475555485806691,6.48255047769903,6.41863020328172,6.32227142276124,6.401839418162679,6.57545274451434,6.660943050522389,7.765275973377889,7.74933523715271,7.74933523715271,7.74933523715271,7.74933523715271,7.74933523715271,7.75420853149968,8.23336319017174,8.616943328291,8.76017436791061,8.77887094910719,7.5609883552506,7.2972179100353705,7.2972179100353705,7.445035368207769,7.44125828109735,7.50507358173876,7.62825261607007,7.61860755434167,7.581956319773769,7.578718816536269,8.40532303709136,8.58619479755503,8.9534594648388,8.9534594648388,8.9534594648388,8.9534594648388,8.9534594648388,8.09974557237514,8.07121111377037,8.07121111377037,8.07121111377037,8.06993751496418,8.06509783950067,8.06509783950067,8.71054296093368,8.677089258542651,8.65543017255608,8.65543017255608,8.64368973602098,8.64060014745911,8.64060014745911,9.01287339327866,9.056665563524561,9.056665563524561,9.056665563524561,8.91503764411878,8.87776713901202,8.91640478084886,9.42116936790745,9.46429806975186,9.4588129737373,9.43903209333701,9.43903209333701,9.49276781481999,9.6447081552554,9.40296881501553,8.847588164158939
ATL,1.43617875251447,1.4360874015514198,1.4355849712546498,1.4355849712546498,1.4355849712546498,1.4355849712546498,1.54196844155273,1.5600737866488201,1.54243608429628,1.52159152697054,1.51678137483098,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.49273061413319,1.4880035545533299,1.4838017238156798,1.4838017238156798,1.4838017238156798,1.4838017238156798,1.4838017238156798,1.4838017238156798,1.48139658258578,1.4773880138693,1.4773880138693,1.4773880138693,1.4757407899642199,1.48003320152863,1.4765921922924,1.23743152298441,1.20829382122229,1.20829382122229,1.20829382122228,1.1773412488858899,1.1340076476149499,1.12660356037994,0.8505635116700341,0.838482102486767,0.8384821024867651,0.838482102486767,0.838482102486766,0.838482102486767,0.840770147178685,0.86062710646927,0.8650125254621149,0.8650125254621149,0.8650125254621149,0.93104096788379,0.9442466563681249,0.924879489897809,0.784697626983486,0.766768089129022,0.7653881834262579,0.7653881834262579,0.7653881834262579,0.7653881834262579,0.768248248136405,0.794911054810525,0.793309727383378,0.793309727383378,0.793309727383378,0.792544511993611,0.7887184350447759,0.7887184350447759,0.7215522753685001,0.703624303025237,0.703624303025237,0.703624303025237,0.703624303025237,0.703624303025237,0.709885361316822,0.7849842384852991,0.7864756658289829,0.7363889104721941,0.7401273064909509,0.7492062682507921,0.7492062682507921,0.743649271933768,0.5667768422694879,0.562365902696202,0.5558166627373239,0.5558166627373239,0.552872504700573,0.5416847041609211,0.544096083908307,0.703280237581584,0.704875079506313,0.6953546625721752,0.6953546625721752,0.6953546625721752,0.6953546625721752,0.6927088669698641,0.5859351388198241,0.582531933392095,0.582531933392095,0.582531933392095,0.53232992637859,0.526545507521373,0.526545507521373,0.433514994600878,0.430650189325386,0.430650189325386,0.430650189325386,0.430650189325386,0.430650189325386,0.43088097797932795,0.433419653172694,0.433419653172694,0.433419653172694,0.433419653172694,0.433419653172694,0.433419653172694,0.432573018363624,0.416798313912272,0.415875383626065,0.41841407235335404,0.421414340849242,0.421414340849242,0.421414340849242,0.421414340849242,0.489049419073375,0.4960739894967461
BAL,6.67960239651416,6.679602396514221,6.6796023965142,6.67960239651419,6.6796023965142,6.69618983957224,6.70138888888893,6.70138888888893,6.70138888888893,6.70138888888893,6.70138888888893,6.70138888888893,6.705360384894741,6.747685185185231,6.747685185185231,6.747685185185231,6.747685185185231,6.747685185185231,6.73210470085474,6.72987891737896,6.72987891737896,6.72987891737896,6.72987891737896,6.72987891737896,6.72987891737896,6.72987891737896,6.729878917378861,6.713775857797629,6.68358262108266,6.68358262108266,6.68358262108266,6.68358262108266,6.68358262108266,6.675412686442139,6.66179612870794,6.66179612870794,6.65988831430012,6.6365119475870005,6.664231368688769,6.65747982547889,6.56998533694273,6.5699853369427,6.175611539398051,6.17561153939807,5.97548741923719,5.69531365101195,5.69531365101195,6.458967082708679,6.61844382290118,6.618443822901161,6.61844382290118,6.4863898864994205,6.46581867027604,6.5021520390775,6.609853591163219,6.688820139519,6.693907644606509,6.704082654781519,6.704082654781519,6.704082654781519,6.656851286600701,6.9892060255579604,7.05963314142307,7.05963314142307,7.05963314142307,7.05963314142307,7.05963314142307,7.09713175255685,7.21143321750524,7.41919005214646,7.46400590150586,7.46400590150586,7.461038190204821,7.4461996336995995,7.62273702593423,8.82731785827273,9.02395441119997,9.06183319907876,9.06183319907876,9.06183319907876,9.06183319907876,8.979860694780331,8.00541608722497,7.99657518407513,7.9965751840751205,7.99657518407513,7.99657518407513,7.99657518407513,8.03164813581475,8.277158797992099,8.07996337510223,7.845221907721861,7.8400284129450295,7.64935296185292,7.64935296185292,7.69303703099698,8.55586443145272,8.31421852763311,8.130085531000121,8.130085531000121,7.5587935713921794,7.28460600872869,7.158454490613231,7.12284195500069,7.11960445176319,7.11960445176319,7.11960445176319,7.041427946407571,6.96652098413148,6.97647451619892,7.529083570750201,7.534722222222179,7.534722222222179,7.534722222222179,7.50652896486226,7.499109686609651,7.499109686609651,7.697056030389299,7.823183760683709,7.823183760683709,7.823183760683709,7.823183760683709,7.823183760683709,7.823183760683709,6.46771069626342,6.30404787131568,6.23677716278824,6.2233429696665405,6.22334296966655,6.22334296966655,6.16857873393033,4.51357902166571,4.39865239910987
BUF,7.7845765345765,7.78457653457647,7.78457653457648,7.78457653457648,7.78457653457648,7.792467948717889,7.94176406155566,7.948812375895639,7.939167314167251,7.939167314167251,7.939167314167251,7.939167314167251,7.92921873651034,7.89141414141408,7.89141414141408,7.89141414141408,7.89141414141408,7.89141414141408,7.906994625744559,7.9092204092203495,7.9092204092203495,7.9092204092203495,7.9092204092203495,7.9092204092203495,7.9092204092203495,7.9092204092203495,7.920218398159539,8.09618622118615,8.096186221186139,8.096186221186139,8.096186221186139,8.096186221186139,8.096186221186139,8.10286357161349,8.113992488992409,8.113992488992409,8.113992488992409,8.113992488992409,8.113992488992409,8.06563033728272,7.199008129859071,7.10015864021389,7.23901098901098,7.2390109890109695,7.2390109890109695,7.2390109890109695,7.28995246428478,8.09541752000142,8.0987299737299,8.09872997372991,8.0987299737299,8.0987299737299,8.0987299737299,8.25353417524528,9.516547204090141,9.5947802197802,9.60255300482015,9.620651679475198,9.620651679475198,9.620651679475198,9.70040320150058,10.5592202509455,10.920586649382,11.005705318316801,11.005705318316801,11.005705318316801,11.005705318316801,11.005705318316801,12.4845658248845,13.107544221540302,13.347962803947,13.5158504718346,13.809471055803002,13.9448514448514,13.9448514448514,14.4078144078143,13.8588448291094,13.605305769623198,13.605305769623198,13.605305769623198,13.605305769623198,13.683412622427198,14.7868335368335,14.812271062270998,14.8173585673585,14.806971577804802,14.781746031746,14.781746031746,14.7943265470439,15.001098606171,15.0070340287731,15.0070340287731,15.0070340287731,15.0144533070257,15.0426465643856,15.0082321730872,13.739254092246098,13.3693708341334,13.1206756206756,13.0964373597891,13.162312506036699,13.295931399379699,13.3694151474324,14.0544447836114,14.061864061864,14.061864061864,13.9857695133515,13.809012678582699,13.7261793048143,13.5854075125579,11.062885637404001,10.9059671376922,10.880923819520198,10.880923819520198,11.2770520102231,11.3567627905864,11.3548337782407,11.277068104069901,11.2746095589234,11.2746095589234,11.2746095589234,11.2746095589234,11.2746095589234,11.2746095589234,11.357908409440801,10.256769591916301,9.64825160285861,9.61785504468427,9.60868047377188,9.6073698207844,9.59441980783439,8.10702303332325,8.00221905001317
CAR,1.44341916388646,1.4170187472217601,1.4023115212211699,1.4023115212211699,1.4023115212211699,1.4023115212211699,1.35442390529608,1.32569133574103,1.31218976464911,1.29623336244958,1.29296025430609,1.2765947135886202,1.27425225779544,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26535092578138,1.26062386620153,1.2564220354638702,1.25667294042925,1.25943289504843,1.25943289504843,1.25943289504843,1.25943289504843,1.25943289504843,1.25943289504843,1.25943289504843,1.25943289504843,1.26177535084161,1.27067668285567,1.2806970328837,1.42226810250574,1.43226660645249,1.43226660645248,1.43226660645249,1.45120472930787,1.4777181013054,1.5129204547512098,1.8536274896984601,1.85913982100919,1.85913982100919,1.85913982100919,1.87011392904524,1.8724242675791498,1.8724242675791498,1.86056135743192,1.86004557872987,1.86447372758652,1.8733300252998302,1.8733300252998302,1.8733300252998302,1.8418961226109098,1.5127766846871298,1.4802181414138502,1.4802181414138502,1.4802181414138502,1.4802181414138502,1.4802181414138502,1.47319319446592,1.20502778695225,1.20049128917213,1.20049128917213,1.20049128917213,1.1965837640138401,1.1854789790778502,1.16756363503567,0.900912669356283,0.882702278982172,0.882702278982172,0.882702278982172,0.882702278982172,0.882702278982172,0.8773328984559259,0.760979331999027,0.760533468290461,0.7605334682904621,0.7556611064529251,0.7438282277046229,0.7438282277046229,0.751234601385252,0.8368334418672649,0.8349725129370891,0.8349725129370891,0.8349725129370891,0.8366862765704208,0.843198578377085,0.8378961630721059,0.6908015510200151,0.673522371364598,0.6315255991026619,0.6315255991026619,0.6315255991026619,0.6315255991026619,0.632440527588192,0.7137986427359191,0.717762457463693,0.717762457463693,0.717762457463693,0.7204230889267959,0.730533488486589,0.718006835928098,0.5980071975525201,0.594060403837829,0.594060403837829,0.594060403837829,0.594060403837829,0.594060403837829,0.5936002057450079,0.489570699116743,0.480382213106302,0.480382213106302,0.480382213106302,0.480382213106302,0.480382213106302,0.480382213106302,0.480382213106302,0.480382213106302,0.483759283709178,0.487750367148941,0.486138563308284,0.485908305616761,0.483139911368133,0.410968336126106,0.406986851670615
CHI,1.79516755383817,1.79516755383819,1.79516755383819,1.79516755383819,1.79516755383819,1.79516755383819,1.84771687854525,1.8524940898822502,1.82793964150909,1.79892074797717,1.79019823616629,1.74658567711188,1.74658567711188,1.74658567711188,1.74658567711188,1.74658567711188,1.74658567711188,1.7496252469015,1.7587439562703502,1.7587439562703502,1.7587439562703502,1.7587439562703502,1.7587439562703502,1.727690113632,1.66558242835529,1.66558242835529,1.66558242835529,1.66558242835529,1.66592843333541,1.66973448811665,1.66973448811665,1.66973448811665,1.66973448811665,1.66973448811665,1.66303621301752,1.65633793791839,1.65633793791839,1.65633793791839,1.65633793791839,1.65633793791839,1.5250605162978101,1.5041894134325,1.5041894134325,1.50418941343251,1.48429559282351,1.45644424397091,1.46036861840204,1.52127843279132,1.484510156999,1.4776615848986,1.47766158489861,1.4776615848986,1.47766158489861,1.4368926863794198,1.05354230974175,1.01556596673917,1.01556596673917,1.01556596673917,1.01556596673917,1.01556596673917,1.01807529140051,1.0053515267356998,0.9939652379933,0.9948828867276421,0.9948828867276421,0.9948828867276421,0.9948828867276421,0.9948828867276421,1.06032771971919,1.06056327336033,1.18842923455963,1.06056327336033,1.05791366111216,1.04466559987129,1.03092689274398,0.773549146241483,0.772555553848425,0.772555553848425,0.772555553848425,0.772555553848425,0.772555553848425,0.76985653685965,0.677055849817244,0.6767698402500271,0.6951899951414271,0.693052359761924,0.6878609595545611,0.6878609595545611,0.6855584401931349,0.529966215054752,0.526520722944235,0.526520722944235,0.526520722944235,0.52586385899978,0.523367776010854,0.534774721056757,0.523367776010854,0.5207333230139211,0.519152651215762,0.519152651215762,0.519152651215762,0.519152651215762,0.519152651215762,0.510311640933375,0.509927249181967,0.509927249181967,0.509927249181967,0.510071266824873,0.5106185338679171,0.510310874256761,0.48330550487212104,0.47061671083118,0.468155784678357,0.468271255832443,0.477970857753354,0.47924104401654,0.47924104401654,0.476472502831614,0.47554965576997205,0.47554965576997205,0.47554965576997205,0.47554965576997205,0.47554965576997205,0.47448719187639604,0.447677377271003,0.444576197966925,0.443895637987223,0.444045965625247,0.443803340205706,0.44376867943148607,0.44376867943148607,0.443540508223312,0.44108669636813796
CIN,0.898129035678994,0.898125507065101,0.898106099688746,0.898106099688746,0.898106099688746,0.898106099688746,0.8730963308102359,0.8580904694831278,0.833046574365139,0.8034492437711529,0.7968461489767671,0.7638306750048379,0.760824330131668,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7515829775719559,0.7446889058118381,0.7379650051812041,0.7344441091996579,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.7348615428727959,0.743575992774283,0.95471488688125,0.9761174309816251,0.976117430981626,0.976117430981624,0.9466987655280441,0.905512633893024,0.89797097284082,0.657200619946166,0.6480575291557739,0.648057529155772,0.6480575291557739,0.648057529155773,0.6480575291557739,0.682936044135371,0.862776983300792,0.883763235784114,0.886026836629795,0.890554038321158,0.892434167313047,0.8928101931114251,0.8928101931114251,0.9001377399371469,0.9015016173901049,0.90243779445489,0.90243779445489,0.90243779445489,0.90243779445489,0.90243779445489,0.8325756908884291,0.83141881684852,0.83141881684852,0.83141881684852,0.8281111594531859,0.813264988569213,0.831376362393295,1.05185043967999,1.06669751779238,1.06669751779238,1.06669751779238,1.06669751779238,1.06669751779238,1.16253100799377,2.37791314371588,2.384571929516,2.3773235154489,2.39578702668121,2.4406269825311,2.4406269825311,2.41847832921738,1.9018243873186498,1.9034052248776,1.93152637671998,1.93152637671998,1.9270861948501299,1.9102135037447,1.8829255536780602,1.46734876029389,1.4629438869414801,1.46141464789083,1.46141464789083,1.54540596878328,1.56750894796551,1.56802472666756,1.60128438253339,1.60629104813228,1.60629104813228,1.60629104813228,1.6053602856571298,1.60182338825154,1.60182338825154,1.7700483458790501,1.7710273975307802,1.7710273975307802,1.7710273975307802,1.7710273975307802,1.7710273975307802,1.7900900129364399,2.27155708317213,2.28189686500302,2.28189686500302,2.28189686500302,2.28189686500302,2.28189686500302,2.2514723293873,1.9427622886698002,1.93711539405878,1.9398599238189,1.9398599238188898,1.9398599238189,1.9398599238189,1.94193413064221,1.90608805920815,1.9061139199763502
CLE,5.895061728395111,5.8950617283951505,5.89506172839514,5.89506172839514,5.89506172839514,5.902184235517651,6.00525110329039,6.0542707111335305,6.0542707111335305,6.0542707111335305,6.0542707111335305,6.0542707111335305,6.04798614602543,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.003994190268769,6.016809774018589,6.03335859303471,6.047567175018231,6.047567175018231,6.047567175018231,6.047567175018231,6.047567175018231,6.047567175018231,6.047567175018231,6.047567175018231,6.050355327316179,6.08799632762137,6.098468108926481,6.15288728208873,6.124809198169099,6.106650543965559,6.27461237596553,6.274612375965559,6.274612375965559,6.274612375965559,6.284533010886179,6.08002257119545,6.03572723162074,6.035727231620751,6.03572723162074,6.035727231620751,6.03572723162074,6.067478518701369,6.47913242741531,6.49603112932804,6.49603112932804,6.49603112932804,6.49603112932804,6.49603112932804,6.50557020136712,6.90944637163412,6.982769647875821,6.982769647875821,6.982769647875821,6.982769647875821,6.982769647875821,7.00165508342792,6.444384298960821,6.41997625923758,6.41997625923758,6.41997625923758,6.410331197509179,6.36210588886721,6.29901349373564,4.95380443146818,4.89814513359382,4.88966983907734,4.88966983907734,5.12301885535515,5.156918104558519,5.13833765119545,4.82553467105838,4.76540772024153,4.7548684170905595,4.74281208993006,4.71353243825457,4.71353243825457,4.6746360205754405,3.55298959034973,3.44000881279194,3.4310041456308698,3.4310041456308698,3.41756155088746,3.3664796908625094,3.3897392748888997,3.8884264539860998,3.85984901635692,3.74471171858696,3.74471171858696,3.75910389950217,3.7557638848115404,3.7264790797088505,3.14076858825066,3.1271325937390095,3.1271325937390095,3.1271325937390095,3.1271325937390095,3.1271325937390095,3.1271325937390095,3.15064940347022,3.15330759494832,3.15330759494832,3.15330759494832,3.1384157138851,3.1344967978158302,3.1344967978158302,2.8281182467724504,2.59146807569753,2.59146807569753,2.59146807569753,2.59146807569753,2.59146807569753,2.59146807569753,2.69414415279846,2.6781513797292202,2.6736971585059397,2.67590605935687,2.6798096359890495,2.68036728979365,2.7147595831347995,3.17478946603021,3.1909556957381295
DAL,3.4239088065562004,3.3835014514369797,3.35901158535358,3.35901158535359,3.35901158535358,3.35798277876922,3.35901158535358,3.35901158535358,3.33726901735866,3.31157325518282,3.30630232960829,3.27994770173564,3.27994770173564,3.27994770173564,3.27994770173564,3.27994770173564,3.27994770173564,3.2768363915006806,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607958103,3.26750246079579,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2675024607957797,3.2643198976857697,3.2611373345757597,3.2611373345757597,3.21085886383252,3.1572054493820203,3.1478713155668903,3.07365884514731,3.08073653597966,3.0807365359796806,3.0807365359796806,3.05825719893414,3.0267861270703595,3.0267861270703595,3.46530443948373,3.46569651516375,3.4656965151637595,3.46569651516375,3.46569651516375,3.46569651516375,3.4726641851749,3.58398778273152,3.8310217856124997,3.85947146963461,3.87328080428352,3.87328080428352,3.87328080428352,3.9865700268411404,5.107659241868401,5.1903598774436395,5.1903598774436395,5.1903598774436395,5.1903598774436395,5.1903598774436395,5.20203121264438,5.92318366547727,5.93509082831255,6.04862612089516,6.38129828665934,6.392401018350309,6.43157480752409,6.43632333187338,7.11142988292276,7.127844276238281,7.127844276238281,7.127844276238281,7.127844276238281,7.127844276238281,7.127844276238281,7.05276792512026,7.03249980589381,7.03249980589381,7.03769330067063,7.05030607370008,7.05030607370008,7.05030607370008,7.555946548852741,7.6898381766468,8.04066629669658,8.26993903474527,8.27432315371272,8.29098280578904,8.25255336569692,7.096413515640839,7.1558554240411,6.93068032907433,6.93068032907433,6.93068032907433,6.93068032907433,7.0091057898676805,8.004240092293639,8.04264578131756,8.056791871852539,8.056791871852539,8.056791871852539,8.056791871852539,8.24197705703774,7.46742794813406,7.42533273549146,7.42533273549146,7.42533273549146,6.86831039424449,6.796137983849519,6.796137983849519,6.8163049310998,6.81718175489329,6.81718175489329,6.81718175489329,7.084554112862801,7.1427367911307895,7.1427367911307895,6.92091486740483,6.88962088983242,6.8851693228808495,6.8851693228808495,6.87847215835727,6.877515420568191,6.88727610741221,7.07583991337214,7.08608048447449
DEN,2.5987072091559904,2.5965186240723797,2.59595600498555,2.59595600498555,2.59595600498555,2.60612651301573,2.48575315156702,2.4033586266676097,2.36682639860023,2.32365194724787,2.3167408720680203,2.28218549616879,2.28438782291005,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.28625133015266,2.2654369330705095,2.23007708348452,2.1931685428482197,2.18490134708103,2.18149720764747,2.18149720764747,2.18149720764747,2.18149720764747,2.18149720764747,2.18149720764747,2.18149720764747,2.18278464636539,2.18767691349348,2.18767691349348,2.330842309155,2.35384743584403,2.35384743584403,2.3538474358440498,2.4254657886655697,2.5257314826157002,2.5460969108414,2.9860676895113905,2.9884087875301404,2.9884087875301497,2.9884087875301404,2.9884087875301404,2.9884087875301404,2.99920843135857,3.2694181066582,3.2892701338291204,3.2975993025780803,3.314257640076,3.314257640076,3.314257640076,3.2913962864612403,2.71711066845557,2.60467589864629,2.55449021160423,2.55449021160423,2.55449021160423,2.55449021160423,2.51049045660054,2.00961188160687,1.9975586871337199,1.9975586871337199,1.9975586871337199,1.9875525803138798,1.95794688281603,1.9496853161191299,1.4999793507729,1.49735997686265,1.49735997686265,1.49735997686265,1.26965911281019,1.1681954724777899,1.1681954724777899,1.1414224267686799,1.1390705285701999,1.1390705285701999,1.13216046026388,1.11537886580569,1.11537886580569,1.11537886580569,1.2367598271796698,1.2116640164774,1.20923069910663,1.20923069910663,1.2111279638883001,1.2183375700586299,1.2310386496476398,1.6330999207445702,1.62434279110781,1.5779881187320501,1.5779881187320501,1.5779881187320501,1.5779881187320501,1.5779881187320501,1.3767158858630701,1.35940298408661,1.35940298408661,1.35940298408661,1.35940298408661,1.35940298408661,1.35940298408661,1.290282315406,1.2368457022538,1.2319790675122602,1.2319790675122602,1.2233401552549599,1.22106675729251,1.22106675729251,1.3954988480576,1.3984983998504799,1.3984983998504799,1.3984983998504799,1.3984983998504799,1.3984983998504799,1.3984983998504799,1.2702846052100099,1.1690763308777399,1.1731976642631399,1.17911010183509,1.17672206300544,1.1763809146012099,1.1763809146012099,1.27859017331929,1.2847128829278898
